Tech #,Technology,Technology subcategory,Technology type,Region,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Indicator
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Austria,56093.23271348619,55154.752160181895,54231.973068646235,56513.107482185274,55567.60211882484,54637.9157474111,51037.59451947556,47542.45117995024,44149.974115706544,40857.70631474009,37663.24424218144,34564.23673863331,33985.95193581761,33417.342258065335,32858.24583350202,32308.50349848735,31767.95875230437,31236.45771260689,30713.849071612203,30199.984053026794,29694.716369692673,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Belgium,32712.262916666667,33227.7030939895,33751.264952685306,34283.07646436211,34823.26761704938,35371.970446970285,34132.853117274055,32845.90474666894,31509.92565158731,30123.690217459844,28685.946379389894,27195.415092900286,27623.927471073617,28059.191827755854,28501.31455243795,28950.40371096746,29406.569071962578,29869.92213364227,30340.57615107923,30818.646163882324,31304.249024315046,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Bulgaria,173337.92944854603,171239.5165379882,169166.5068196642,167118.59276488298,165095.4705678674,163096.84010068464,153066.284625287,143254.68477003678,133658.2092299595,124273.0873743253,115095.60833910474,106122.12013250533,104837.41558059177,103568.26354292923,102314.4757422214,101075.8661804396,99852.25111122987,98643.44901265473,97449.28056026445,96269.56860049436,95104.13812438452,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Croatia,43319.00034739109,43803.12026316488,44292.65055523935,45845.283301552714,46357.636183950424,46875.714965659834,45029.604455703506,43136.376215186974,41195.20766947405,39205.263743065974,37165.696682926005,35075.645879416596,35467.640583649816,35864.01610095986,36264.82138997555,36670.10595647233,37079.91985948711,37494.31371750131,37913.33871469301,38337.04660725904,38765.48972980768,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Cyprus,4759.355947136563,4814.473674172214,4870.22971527122,4546.447220487195,4599.099268298743,4652.361075336406,4470.927718015155,4284.668065647824,4093.494665779297,3897.318687686233,3696.0499021827477,3489.596661143226,3530.0094057182832,3570.8901671109497,3612.2443653871937,3654.0774833823425,3696.3950674280054,3739.2027280874267,3782.5061408993383,3826.3110471304412,3870.623254536595,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Czechia,118756.42891732966,118893.44632418401,119030.6218173832,123247.14862827856,123389.34728532132,123531.71000667136,117490.52513253984,111435.23555971248,105365.81678299252,99282.24425941272,93184.49340818041,87072.53961062299,87173.00114937448,87273.57859746793,87374.27208863586,87475.08175676508,87576.00773589693,87677.05016022733,87778.20916410707,87879.48488204194,87980.87744869292,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Denmark,78772.82272849826,79642.59174293917,80521.96429972221,81411.04643622511,82309.94536063577,83218.7694648799,79930.74692080641,76559.96950004257,73105.01058630791,69564.42214840706,65936.7344412496,62220.455702878615,62907.46198956813,63602.05384651136,64304.31502967556,65014.33021981837,65732.18503269876,66457.96602940102,67191.7607267723,67933.65760797588,68683.7461331606,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Estonia,31290.52594547054,31572.140678979773,31856.28994509059,32960.211017740425,33256.85291690009,33556.164593152185,32165.26157076603,30746.60424464487,29299.8057004663,27824.474307548695,26320.213665296844,24786.622549065545,25009.70215200713,25234.789471375192,25461.902576617562,25691.05969980712,25922.279237105384,26155.57975023933,26390.979967991472,26628.498787703393,26868.155276792724,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,Finland,72892.43304843304,73262.68615681134,73634.81994550898,74008.84396733831,74384.76782363465,74762.60116450282,71385.23600461148,67971.6316311377,64521.50703248794,61034.57927730222,57510.56350220162,53949.17289946084,54223.20475880611,54498.628547923436,54775.45133704362,55053.68023231025,55333.3223759623,55614.38494651726,55896.87515895552,56180.80026490562,56466.16755283029,addressable_market
1,Robotics & Smart Machines,Harvesting robots,Hardware,EU Europe,France,748566.0206091139,746418.689173579,744277.5175585102,776271.1485114176,774044.3423329311,771823.9239556222,731129.381302713,690661.959624979,650420.6907553874,610404.6102125216,570612.7571874028,531044.1745303555,529520.8247946849,528001.844929787,526487.2224002798,524976.9447067402,523470.99938560126,521969.3740090488,520472.05618491874,518979.0335565952,517490.293802909,addressable_market
